Calculation,Tesseract,EasyOCR
Total Duration: ,23.719197511672974,259.96628284454346
Average Duration: ,3.388456787381853,37.13804040636335
Max Duration: ,4.665236949920654,41.67061114311218
Min Duration: ,2.9022605419158936,33.77205801010132
